Source,Target,Weight,nt_type_banc,type_pre,type_post,layer_mean_pre,layer_mean_post,across_hemi_layer_pre,across_hemi_layer_post
720575940628267264,720575940636679989,1,GABA,WED_pr02,B1-2,3.445512821,2.435897436,,
720575940609691075,720575940639811469,6,Ach,JO-A,WV-WV-3,,2.78525641,,2.675824176
720575940632649697,720575940644968302,5,Ach,A2,AVLP_pr23,2.317307692,3.144230769,,3.192307692
720575940621558762,720575940626228329,8,Ach,WED_pr01-1,WED_pr01-1,4.16025641,4.25,,
720575940619572762,720575940620622785,1,Ach,JO-B,JO-B,,,,
720575940617541147,720575940619925887,6,Ach,JO-B,IPS_pr01-2,,2.724358974,,
720575940614840891,720575940644968302,6,Ach,B1-3,AVLP_pr23,2.541666667,3.144230769,,3.192307692
720575940635547113,720575940627174247,11,Ach,B1-1,WED-VLP-1,3.830128205,3.310897436,,
720575940614633867,720575940609076693,2,Ach,B1-4,B1-4,2.666666667,3.163461538,,
720575940628054760,720575940639811469,8,Ach,JO-A,WV-WV-3,,2.78525641,,2.675824176
720575940621043753,720575940611864243,3,Ach,B1-5,B1-5,3.147435897,3.365384615,,
720575940639241279,720575940632499757,2,Ach,B1-4,GF,3.092948718,3.467948718,,3.323717949
720575940618066415,720575940629938487,149,Ach,B1-3,WED_pr02,2.817307692,3.378205128,,
720575940608554052,720575940623547685,6,Ach,JO-A,WED-VLP-1,,3.137820513,,
720575940626562570,720575940649911286,43,Ach,B1-1,WED-VLP-1,3.935897436,3.256410256,2.127747253,
720575940612153086,720575940631693610,2,Ach,B1-6,A1,3.125,3.823717949,4.153846154,3.896367521
720575940618409797,720575940611864243,1,Ach,B1-5,B1-5,3.051282051,3.365384615,,
720575940610638434,720575940613943413,11,Ach,B1-u,WED-VLP-2,2.230769231,3.413461538,,
720575940619940811,720575940609673369,8,Ach,JO-B,B1-4,,2.419871795,,
720575940605238188,720575940609673369,6,Ach,JO-B,B1-4,,2.419871795,,
720575940627142666,720575940638214461,20,Ach,JO-A,A2,,2.298076923,,2.304487179
720575940628356358,720575940611335859,7,Ach,JO-A,SAD_pr02,,3.096153846,,
720575940606743170,720575940628910095,2,GABA,WED_pr02,B1-3,3.397435897,3.256410256,,2.726762821
720575940628244064,720575940617431325,7,GLUT,aPN3,B1-4,5.096153846,2.884615385,4.993589744,2.766254579
720575940622123981,720575940621540586,11,GABA,WV-WV-1,WED_pr02,2.326923077,3.445512821,,
720575940619508033,720575940629133071,1,Ach,JO-A,A2,,2.310897436,,
720575940625989904,720575940630353682,22,Ach,WED-VLP-1,AVLP_pr01-2,3.253205128,4.03525641,,4.044471154
720575940632715359,720575940625683176,1,Ach,B1-2,B1-1,3.596153846,4.240384615,,
720575940634829168,720575940627496829,3,Ach,vpoEN,pMN2,3.740384615,5.391025641,,
720575940606871497,720575940622123981,6,Ach,JO-B,WV-WV-1,,2.326923077,,
720575940635981742,720575940619405812,8,GABA,WED_pr02,B1-3,3.378205128,2.653846154,,
720575940605214636,720575940632649697,1,GABA,WV-WV-3,A2,2.53525641,2.317307692,,
720575940611674265,720575940616611382,2,GABA,WED_pr02,WED-VLP-1,3.128205128,3.176282051,,
720575940604531229,720575940625984528,9,Ach,JO-B,B2,,2.150641026,,
720575940621148660,720575940620581748,22,GABA,WV-WV-2,WED_pr02,3.394230769,3.439102564,,
720575940606850761,720575940610116581,8,Ach,JO-B,IPS_pr02,,3.403846154,,3.355769231
720575940631153194,720575940625345328,2,Ach,AVLP_pr23,WV-WV-2,3.240384615,2.996794872,,
720575940627201579,720575940616313942,2,GABA,WV-WV-3,A1,3.048076923,3.939102564,,
720575940632129567,720575940618599277,4,Ach,JO-B,B1-4,,2.426282051,,
720575940637410394,720575940610358990,4,GABA,WED_pr02,B1-2,3.147435897,2.448717949,,
720575940634299071,720575940637410394,1,GABA,WED_pr02,WED_pr02,3.243589744,3.147435897,,
720575940630258003,720575940620835327,5,GABA,WED_pr02,WV-WV-2,3.403846154,3.724358974,,
720575940637834301,720575940646518382,5,Ach,AVLP_pr36/asp10a-1,pC1d,5.054487179,5.891025641,,
720575940636679989,720575940635330204,16,Ach,B1-2,WV-WV-1,2.435897436,2.631410256,,
720575940611674265,720575940627957719,4,GABA,WED_pr02,B1-2,3.128205128,3.240384615,,2.422676282
720575940634229399,720575940618066415,2,Ach,JO-B,B1-3,,2.817307692,,
720575940622026757,720575940646400644,3,Ach,JO-B,B1-5,,2.445512821,,
720575940606332629,720575940621447077,64,Ach,B1-1,WED-VLP-1,2.141025641,3.224358974,,
720575940637410394,720575940623787495,4,GABA,WED_pr02,WED-VLP-1,3.147435897,3.336538462,,
720575940631693610,720575940632499757,2,inconclusive,A1,GF,3.823717949,3.467948718,3.896367521,3.323717949
720575940604201830,720575940622838154,103,GABA,WV-WV-3,GF,2.41025641,3.179487179,,
720575940642063245,720575940624571116,4,Ach,JO-A,SAD_pr01,,2.384615385,,2.352564103
720575940607188036,720575940634299071,2,Ach,B1-1,WED_pr02,2.108974359,3.243589744,,
720575940645089559,720575940620694015,8,Ach,JO-B,B1-1,,2.179487179,,
720575940629283659,720575940627174247,2,GABA,AVLP_pr01-1,WED-VLP-1,2.682692308,3.310897436,,
720575940629938487,720575940634571383,2,GABA,WED_pr02,WV-WV-2,3.378205128,3.5,,
720575940629989879,720575940627027087,4,Ach,JO-B,aPN2,,3.532051282,,
720575940626257736,720575940622254375,9,Ach,JO-B,B1-2,,2.246794872,,
720575940616653429,720575940618066415,3,Ach,JO-B,B1-3,,2.817307692,,
720575940606743170,720575940615930299,1,GABA,WED_pr02,WED_pr02,3.397435897,3.608974359,,
720575940605095346,720575940621242025,1,GABA,WV-WV-2,B1-5,3.544871795,2.887820513,3.419337607,
720575940628910095,720575940621148660,25,Ach,B1-3,WV-WV-2,3.256410256,3.394230769,2.726762821,
720575940625624464,720575940616809401,5,Ach,JO-B,B1-1,,2.141025641,,
720575940625146122,720575940631922969,14,Ach,A2,WED-VLP-1,2.291666667,3.054487179,,
720575940612078511,720575940630603091,4,GABA,WED_pr02,B1-2,3.317307692,2.477564103,,
720575940621835246,720575940625146122,9,GABA,WED_pr02,A2,3.201923077,2.291666667,3.382386364,
720575940622123981,720575940623547685,56,GABA,WV-WV-1,WED-VLP-1,2.326923077,3.137820513,,
720575940622254375,720575940617117656,15,Ach,B1-2,WED-VLP-2,2.246794872,3.637820513,,
720575940612419763,720575940609673369,3,Ach,JO-B,B1-4,,2.419871795,,
