Source,Target,Weight,nt_type,type_pre_baker,type_pre_lockwood,type_post_baker,type_post_lockwood
720575940627538947,720575940622065432,3,ACH,,JO-A,AVLP_pr01,AVLP_pr01-1
720575940614332899,720575940624571116,10,ACH,,JO-A,,SAD_pr01
720575940627985351,720575940634606693,2,ACH,,JO-B,B1,B1-7
720575940610638434,720575940624872179,2,ACH,put_B1,B1-u,B1,B1-u
720575940635981742,720575940642412941,2,GABA,put_WED_pr02,WED_pr02,B1-2,B1-2
720575940607371076,720575940635330204,34,ACH,B1-2,B1-2,WV-WV-1,WV-WV-1
720575940642442893,720575940618392912,5,ACH,,JO-B,B1-5,B1-5
720575940642063245,720575940603533246,4,ACH,,JO-A,WV-WV-3,WV-WV-3
720575940630258003,720575940622969528,1,GABA,WED_pr02,WED_pr02,put_WED-VLP,WED-VLP-1
720575940623587780,720575940603533246,4,ACH,,JO-A,WV-WV-3,WV-WV-3
720575940615408059,720575940623304906,6,ACH,B1,B1-u,put_WED-VLP,WED-VLP-1
720575940639803453,720575940630223052,5,ACH,,JO-B,B1-1,B1-1
720575940619694512,720575940614310802,5,ACH,,JO-A,B1-4,B1-4
720575940627410944,720575940611674265,28,ACH,B1-2,B1-2,put_WED_pr02,WED_pr02
720575940614840891,720575940628267264,18,ACH,B1-3,B1-3,WED_pr02,WED_pr02
720575940630353682,720575940618833840,19,GABA,AVLP_pr01,AVLP_pr01-2,WED-VLP-1,WED-VLP-1
720575940625972624,720575940624704393,5,ACH,,JO-B,B1-3,B1-3
720575940622577336,720575940615930299,5,ACH,B1-5,B1-5,WED_pr02,WED_pr02
720575940630344396,720575940621431492,1,ACH,pC2la,pC2la,pC2la,pC2la
720575940609832410,720575940632303807,2,ACH,B1-5,B1-5,WED_pr01,WED_pr01-1
720575940621431492,720575940636910825,3,ACH,pC2la,pC2la,pC2la,pC2la
720575940622123981,720575940622699196,3,GABA,WV-WV-1,WV-WV-1,WED-VLP-2,WED-VLP-2
720575940621242025,720575940620835327,3,ACH,B1-5,B1-5,WV-WV-2,WV-WV-2
720575940631461451,720575940612146174,8,ACH,,JO-B,B1-2,B1-2
720575940627249039,720575940621242025,2,ACH,,JO-B,B1-5,B1-5
720575940605214636,720575940622838154,3,GABA,WV-WV-3,WV-WV-3,GF,GF
720575940606010569,720575940620835327,2,ACH,B1-3,B1-3,WV-WV-2,WV-WV-2
720575940622097959,720575940603186790,36,ACH,B1-1,B1-1,WED-VLP-1,WED-VLP-1
720575940622591049,720575940644488727,1,ACH,,JO-A,,SAD_pr01
720575940638095293,720575940619688688,1,ACH,pC2lb,pC2lb,AVLP_pr36,AVLP_pr36/asp10a-1
720575940617362772,720575940625295339,1,ACH,AVLP_pr36,AVLP_pr36/asp10a-1,pMN1,pMN1
720575940628910095,720575940610077026,1,ACH,B1-3,B1-3,B1-2,B1-2
720575940625146122,720575940631153194,20,ACH,,A2,AVLP_pr23,AVLP_pr23
720575940618770625,720575940635330204,1,ACH,,JO-A,WV-WV-1,WV-WV-1
720575940615723077,720575940618409797,2,ACH,B1-5,B1-5,B1-5,B1-5
720575940637410394,720575940644968302,6,GABA,WED_pr02,WED_pr02,put_AVLP_pr23,AVLP_pr23
720575940618772719,720575940620833974,10,ACH,,aPN2,,aPN2
720575940618392912,720575940631693610,5,ACH,B1-5,B1-5,A1,A1
720575940621835246,720575940607371076,1,GABA,put_WED_pr02,WED_pr02,B1-2,B1-2
720575940636705502,720575940620931348,4,GABA,vpoIN,vpoIN-3,pC2lc,pC2lc
720575940629938487,720575940624704393,11,GABA,WED_pr02,WED_pr02,B1-3,B1-3
720575940607188036,720575940609927141,19,ACH,B1-1,B1-1,WED-VLP-1,WED-VLP-1
720575940634299071,720575940632157631,3,GABA,put_WED_pr02,WED_pr02,put_WED-VLP,WED-VLP-1
720575940632229457,720575940632084705,8,ACH,,JO-B,B1,B1-7
720575940612153086,720575940631631564,4,ACH,B1,B1-6,B1-5,B1-5
720575940633300148,720575940623725972,3,ACH,pC2lb,pC2lb,pC2lb,pC2lb
720575940628910095,720575940620835327,2,ACH,B1-3,B1-3,WV-WV-2,WV-WV-2
720575940628267264,720575940636679989,1,GABA,WED_pr02,WED_pr02,B1-2,B1-2
720575940609691075,720575940639811469,6,ACH,,JO-A,WV-WV-3,WV-WV-3
720575940632649697,720575940644968302,5,ACH,A2,A2,put_AVLP_pr23,AVLP_pr23
720575940621558762,720575940626228329,8,ACH,put_WED_pr01,WED_pr01-1,WED_pr01,WED_pr01-1
720575940619572762,720575940620622785,1,ACH,,JO-B,,JO-B
720575940617541147,720575940619925887,6,ACH,,JO-B,put_IPS_pr01,IPS_pr01-2
720575940614840891,720575940644968302,6,ACH,B1-3,B1-3,put_AVLP_pr23,AVLP_pr23
720575940635547113,720575940627174247,11,ACH,B1-1,B1-1,WED-VLP-1,WED-VLP-1
720575940614633867,720575940609076693,2,ACH,B1-4,B1-4,B1-4,B1-4
720575940628054760,720575940639811469,8,SER,,JO-A,WV-WV-3,WV-WV-3
720575940621043753,720575940611864243,3,ACH,B1-5,B1-5,B1-5,B1-5
720575940639241279,720575940632499757,2,ACH,B1-4,B1-4,GF,GF
720575940618066415,720575940629938487,149,ACH,B1-3,B1-3,WED_pr02,WED_pr02
720575940608554052,720575940623547685,6,ACH,,JO-A,WED-VLP-1,WED-VLP-1
720575940626562570,720575940649911286,43,ACH,B1-1,B1-1,WED-VLP-1,WED-VLP-1
720575940612153086,720575940631693610,2,ACH,B1,B1-6,A1,A1
720575940618409797,720575940611864243,1,ACH,B1-5,B1-5,B1-5,B1-5
720575940610638434,720575940613943413,11,ACH,put_B1,B1-u,WED-VLP-2,WED-VLP-2
720575940619940811,720575940609673369,8,ACH,,JO-B,B1-4,B1-4
720575940605238188,720575940609673369,6,ACH,,JO-B,B1-4,B1-4
720575940627142666,720575940638214461,20,ACH,,JO-A,A2,A2
720575940628356358,720575940611335859,7,ACH,,JO-A,SAD_pr02,SAD_pr02
720575940606743170,720575940628910095,2,GABA,put_WED_pr02,WED_pr02,B1-3,B1-3
720575940628244064,720575940617431325,7,GLUT,,aPN3,B1-4,B1-4
720575940622123981,720575940621540586,11,GABA,WV-WV-1,WV-WV-1,put_WED_pr02,WED_pr02
720575940619508033,720575940629133071,1,ACH,,JO-A,,A2
720575940625989904,720575940630353682,22,ACH,WED-VLP-1,WED-VLP-1,AVLP_pr01,AVLP_pr01-2
720575940632715359,720575940625683176,1,ACH,B1-2,B1-2,B1-1,B1-1
720575940632715359,720575940625683176,1,ACH,B1-2,B1-2,B1-1,B1-1
720575940634829168,720575940627496829,3,ACH,,vpoEN,pMN2,pMN2
720575940606871497,720575940622123981,6,ACH,,JO-B,WV-WV-1,WV-WV-1
720575940635981742,720575940619405812,8,GABA,put_WED_pr02,WED_pr02,B1-3,B1-3
720575940605214636,720575940632649697,1,GABA,WV-WV-3,WV-WV-3,A2,A2
720575940611674265,720575940616611382,2,GABA,put_WED_pr02,WED_pr02,WED-VLP-1,WED-VLP-1
720575940604531229,720575940625984528,9,ACH,,JO-B,B2,B2
720575940621148660,720575940620581748,22,GABA,WV-WV-2,WV-WV-2,put_WED_pr02,WED_pr02
720575940606850761,720575940610116581,8,ACH,,JO-B,IPS_pr02,IPS_pr02
720575940631153194,720575940625345328,2,ACH,AVLP_pr23,AVLP_pr23,WV-WV-2,WV-WV-2
720575940627201579,720575940616313942,2,GABA,WV-WV-3,WV-WV-3,A1,A1
720575940632129567,720575940618599277,4,ACH,,JO-B,B1-4,B1-4
720575940637410394,720575940610358990,4,GABA,WED_pr02,WED_pr02,B1-2,B1-2
720575940634299071,720575940637410394,1,GABA,put_WED_pr02,WED_pr02,WED_pr02,WED_pr02
720575940630258003,720575940620835327,5,GABA,WED_pr02,WED_pr02,WV-WV-2,WV-WV-2
720575940637834301,720575940646518382,5,ACH,AVLP_pr36,AVLP_pr36/asp10a-1,pC1d,pC1d
720575940636679989,720575940635330204,16,ACH,B1-2,B1-2,WV-WV-1,WV-WV-1
720575940611674265,720575940627957719,4,GABA,put_WED_pr02,WED_pr02,B1-2,B1-2
720575940634229399,720575940618066415,2,ACH,,JO-B,B1-3,B1-3
720575940622026757,720575940646400644,3,ACH,,JO-B,B1-5,B1-5
720575940606332629,720575940621447077,64,ACH,B1-1,B1-1,put_WED-VLP,WED-VLP-1
720575940637410394,720575940623787495,4,GABA,WED_pr02,WED_pr02,WED-VLP-1,WED-VLP-1
720575940631693610,720575940632499757,2,ACH,A1,A1,GF,GF
720575940604201830,720575940622838154,103,GABA,WV-WV-3,WV-WV-3,GF,GF
720575940642063245,720575940624571116,4,ACH,,JO-A,,SAD_pr01
720575940607188036,720575940634299071,2,ACH,B1-1,B1-1,put_WED_pr02,WED_pr02
720575940645089559,720575940620694015,8,ACH,,JO-B,put_B1,B1-1
720575940629283659,720575940627174247,2,GABA,AVLP_pr01,AVLP_pr01-1,WED-VLP-1,WED-VLP-1
720575940629938487,720575940634571383,2,GABA,WED_pr02,WED_pr02,WV-WV-2,WV-WV-2
720575940629989879,720575940627027087,4,ACH,,JO-B,,aPN2
720575940626257736,720575940622254375,9,ACH,,JO-B,B1-2,B1-2
720575940616653429,720575940618066415,3,ACH,,JO-B,B1-3,B1-3
720575940606743170,720575940615930299,1,GABA,put_WED_pr02,WED_pr02,WED_pr02,WED_pr02
720575940605095346,720575940621242025,1,GABA,WV-WV-2,WV-WV-2,B1-5,B1-5
720575940628910095,720575940621148660,25,ACH,B1-3,B1-3,WV-WV-2,WV-WV-2
720575940625624464,720575940616809401,5,ACH,,JO-B,B1-1,B1-1
720575940625146122,720575940631922969,14,ACH,,A2,put_WED-VLP,WED-VLP-1
720575940612078511,720575940630603091,4,GABA,put_WED_pr02,WED_pr02,B1-2,B1-2
720575940621835246,720575940625146122,9,GABA,put_WED_pr02,WED_pr02,,A2
720575940622123981,720575940623547685,56,GABA,WV-WV-1,WV-WV-1,WED-VLP-1,WED-VLP-1
720575940622254375,720575940617117656,15,ACH,B1-2,B1-2,WED-VLP-2,WED-VLP-2
720575940612419763,720575940609673369,3,ACH,,JO-B,B1-4,B1-4
720575940622123981,720575940621717469,2,GABA,WV-WV-1,WV-WV-1,WV-WV-3,WV-WV-3
720575940642412941,720575940605095346,3,ACH,B1-2,B1-2,WV-WV-2,WV-WV-2
720575940620537435,720575940622295585,4,ACH,,JO-A,,JO-A
720575940634781594,720575940627410944,1,ACH,,JO-B,B1-2,B1-2
720575940630534615,720575940635330204,22,ACH,,JO-A,WV-WV-1,WV-WV-1
720575940635330204,720575940634299071,4,GABA,WV-WV-1,WV-WV-1,put_WED_pr02,WED_pr02
720575940611335859,720575940634877850,4,GABA,SAD_pr02,SAD_pr02,B1-5,B1-5
720575940637389534,720575940620537435,1,ACH,,JO-A,,JO-A
720575940642063245,720575940616121408,2,ACH,,JO-A,put_WED_pr02,WED_pr02
720575940618758753,720575940630258003,29,ACH,B1-2,B1-2,WED_pr02,WED_pr02
720575940625887631,720575940624087283,1,GABA,WED_pr02,WED_pr02,B1-5,B1-5
720575940634571383,720575940635330204,1,GABA,WV-WV-2,WV-WV-2,WV-WV-1,WV-WV-1
720575940624428728,720575940625146122,20,ACH,,JO-A,,A2
720575940608457483,720575940632945177,31,ACH,,JO-A,WV-WV-3,WV-WV-3
720575940637418549,720575940622123981,3,ACH,,JO-A,WV-WV-1,WV-WV-1
720575940642063245,720575940623322877,6,ACH,,JO-A,WV-WV-1,WV-WV-1
720575940620581748,720575940631153194,13,GABA,put_WED_pr02,WED_pr02,AVLP_pr23,AVLP_pr23
720575940654117025,720575940606743170,1,ACH,B1-3,B1-3,put_WED_pr02,WED_pr02
720575940623529875,720575940622297855,5,ACH,,JO-B,,JO-B
720575940618772719,720575940625597317,11,ACH,,aPN2,,aPN2
720575940611674265,720575940622297855,14,GABA,put_WED_pr02,WED_pr02,,JO-B
720575940611674265,720575940631922969,4,GABA,put_WED_pr02,WED_pr02,put_WED-VLP,WED-VLP-1
720575940628528377,720575940618475101,1,GABA,vpoIN,vpoIN-1,pC2lb,pC2lb
720575940635330204,720575940610358990,4,GABA,WV-WV-1,WV-WV-1,B1-2,B1-2
720575940610638434,720575940630258003,1,ACH,put_B1,B1-u,WED_pr02,WED_pr02
720575940627263375,720575940639811469,13,ACH,B1-4,B1-4,WV-WV-3,WV-WV-3
720575940640507763,720575940620835327,20,GABA,put_WED_pr02,WED_pr02,WV-WV-2,WV-WV-2
720575940600433181,720575940605214636,1,ACH,,JO-B,WV-WV-3,WV-WV-3
720575940626693894,720575940613311151,2,ACH,,JO-B,B2,B2
720575940644319796,720575940613170498,6,GABA,AVLP_pr02,AVLP_pr02,pMN2,pMN2
720575940602120928,720575940636471408,1,ACH,AVLP_pr36,AVLP_pr36/asp10a-1,put_AVLP_pr36,AVLP_pr36/asp10a-1
720575940618758753,720575940644968302,2,ACH,B1-2,B1-2,put_AVLP_pr23,AVLP_pr23
720575940621043753,720575940625887631,4,ACH,B1-5,B1-5,WED_pr02,WED_pr02
720575940630277175,720575940605214636,2,ACH,B1-5,B1-5,WV-WV-3,WV-WV-3
720575940619415679,720575940631179807,1,ACH,,vpoEN,pC2lb,pC2lb
720575940634299071,720575940637410394,2,GABA,put_WED_pr02,WED_pr02,WED_pr02,WED_pr02
720575940614332899,720575940602914988,1,ACH,,JO-A,AVLP_pr01,AVLP_pr01-1
720575940624594276,720575940620980323,9,ACH,,JO-B,B1-4,B1-4
720575940619572762,720575940637663662,6,ACH,,JO-B,B1-4,B1-4
720575940614840891,720575940630258003,16,ACH,B1-3,B1-3,WED_pr02,WED_pr02
720575940628333788,720575940629513478,1,ACH,AVLP_pr12,AVLP_pr12,AVLP_pr04,AVLP_pr04
720575940627455621,720575940616211013,3,ACH,B1-5,B1-5,WED_pr02,WED_pr02
720575940645539694,720575940603636913,1,ACH,,JO-B,B1-3,B1-3
720575940638636533,720575940630028359,6,ACH,,JO-B,B1,B1-7
720575940620356545,720575940618364480,2,ACH,pC1d,pC1d,pC1e,pC1e
720575940612146174,720575940621148660,38,ACH,B1-2,B1-2,WV-WV-2,WV-WV-2
720575940616859622,720575940639241279,3,ACH,,JO-B,B1-4,B1-4
720575940627027087,720575940610116581,17,ACH,,aPN2,IPS_pr02,IPS_pr02
720575940621242025,720575940634571383,13,ACH,B1-5,B1-5,WV-WV-2,WV-WV-2
720575940619405812,720575940620581748,9,ACH,B1-3,B1-3,put_WED_pr02,WED_pr02
720575940634508174,720575940609927141,5,GABA,AVLP_pr01,AVLP_pr01-1,WED-VLP-1,WED-VLP-1
720575940637919551,720575940630223052,11,ACH,,JO-B,B1-1,B1-1
720575940625146122,720575940616121408,6,ACH,,A2,put_WED_pr02,WED_pr02
720575940622254375,720575940623322877,50,ACH,B1-2,B1-2,WV-WV-1,WV-WV-1
720575940624732260,720575940619491828,4,GABA,put_IPS_pr01,IPS_pr01-2,put_WED_pr01,WED_pr01-1
720575940614450774,720575940623322877,3,ACH,B1-2,B1-2,WV-WV-1,WV-WV-1
720575940604839200,720575940633044634,39,ACH,B1-2,B1-2,WED_pr02,WED_pr02
