Id,Label,NT2026 (FAFB and BANC),layer_mean[z],Across-hemi_layer_mean
720575940620424472,AVLP_pr12,Ach,5.5,
720575940635130905,AVLP_pr12,Ach,5.615384615,
720575940626869403,AVLP_pr12,Ach,6.115384615,
720575940632011420,AVLP_pr12,Ach,5.778846154,
720575940637319134,AVLP_pr12,Ach,6.003205128,
720575940616650589,AVLP_pr12,Ach,5.435897436,
720575940624273395,AVLP_pr12,Ach,5.705128205,
720575940625194014,AVLP_pr12,Ach,5.971153846,
720575940614437462,AVLP_pr12,Ach,5.932692308,
720575940626885124,AVLP_pr12,Ach,5.865384615,
720575940637079667,AVLP_pr12,Ach,6.105769231,
720575940634371941,AVLP_pr12,Ach,5.782051282,
720575940608082990,AVLP_pr12,Ach,6.163461538,
720575940630037073,AVLP_pr12,Ach,5.788461538,
720575940606687957,AVLP_pr12,Ach,5.605769231,
720575940628071696,AVLP/PVLP_pr01-1,Ach,6.115384615,6.126602564
720575940618595894,AVLP/PVLP_pr01-1,Ach,6.397435897,
720575940613531295,AVLP/PVLP_pr01-1,Ach,5.996794872,
720575940626258690,AVLP/PVLP_pr01-2,Ach,4.246794872,4.173076923
720575940629144906,AVLP/PVLP_pr01-2,Ach,4.105769231,
720575940631799343,AVLP/PVLP_pr01-2,Ach,4.025641026,
720575940612975853,AVLP/PVLP_pr01-2,Ach,4.358974359,
720575940634317724,AVLP/PVLP_pr01-2,Ach,4.320512821,
720575940621752001,AVLP/PVLP_pr01-2,Ach,3.980769231,
720575940632764883,AVLP_pr36/asp10a-1,Ach,5.448717949,5.376371083
720575940617362772,AVLP_pr36/asp10a-1,Ach,5.259615385,
720575940620356557,AVLP_pr36/asp10a-1,Ach,5.237179487,
720575940627719294,AVLP_pr36/asp10a-1,Ach,5.429487179,
720575940615635037,AVLP_pr36/asp10a-1,Ach,5.541666667,
720575940615592409,AVLP_pr36/asp10a-1,Ach,5.182692308,
720575940619688688,AVLP_pr36/asp10a-1,Ach,5.256410256,
720575940637175349,AVLP_pr36/asp10a-1,Ach,5.471153846,
720575940628837650,AVLP_pr36/asp10a-1,Ach,5.333333333,
720575940637834301,AVLP_pr36/asp10a-1,Ach,5.054487179,
720575940629244357,AVLP_pr36/asp10a-1,Ach,5.320512821,
720575940602120928,AVLP_pr36/asp10a-1,Ach,5.573717949,
720575940617034398,AVLP_pr36/asp10a-1,Ach,5.310897436,
720575940613034602,AVLP_pr36/asp10a-1,Ach,5.278846154,
720575940609996773,AVLP_pr36/asp10a-1,Ach,5.407051282,
720575940624662508,AVLP_pr36/asp10a-1,Ach,5.625,
720575940636471408,AVLP_pr36/asp10a-1,Ach,5.490384615,
720575940604445868,AVLP_pr36/asp10a-1,Ach,5.365384615,
720575940641972384,AVLP_pr36/asp10a-1,Ach,5.58974359,
720575940627363687,AVLP_pr36/asp10a-2,Ach,5.16025641,5.200320513
720575940644252951,AVLP_pr36/asp10a-2,Ach,5.378205128,
720575940623437180,AVLP_pr36/asp10a-2,Ach,5.102564103,
720575940616941201,AVLP_pr18-1,Inconclusive,5.673076923,5.72275641
720575940632109775,AVLP_pr18-1,Inconclusive,5.772435897,
720575940630396790,AVLP_pr18-2,Inconclusive,5.807692308,5.818910256
720575940630302551,AVLP_pr18-2,Inconclusive,5.830128205,
720575940618477806,AVLP_pr05-1,GABA,4.458333333,4.254273504
720575940617529669,AVLP_pr05-1,GABA,4.349358974,
720575940615798045,AVLP_pr05-1,GABA,3.817307692,
720575940617193009,AVLP_pr05-1,GABA,4.618589744,
720575940625839345,AVLP_pr05-1,GABA,4.060897436,
720575940603331686,AVLP_pr05-1,GABA,4.426282051,
720575940618048724,AVLP_pr05-1,GABA,4.426282051,
720575940629414201,AVLP_pr05-1,GABA,3.836538462,
720575940639494528,AVLP_pr05-1,GABA,4.169871795,
720575940629349340,AVLP_pr05-1,GABA,3.935897436,
720575940623849496,AVLP_pr05-1,GABA,4.365384615,
720575940630303307,AVLP_pr05-1,,4.586538462,
720575940617943205,AVLP_pr05-2,GABA,5.006410256,4.780448718
720575940624172290,AVLP_pr05-2,GABA,4.75,
720575940617842196,AVLP_pr05-2,GABA,4.682692308,
720575940612965791,AVLP_pr05-3,GABA,4.858974359,5.007478632
720575940607049941,AVLP_pr05-3,GABA,4.78525641,
720575940605611209,AVLP_pr05-3,GABA,5.378205128,
720575940615915035,IPS_pr01-1,GABA,4.701923077,4.553632479
720575940610088618,IPS_pr01-1,GABA,4.759615385,
720575940616812217,IPS_pr01-1,GABA,4.730769231,
720575940624015459,IPS_pr01-1,GABA,4.416666667,
720575940629851496,IPS_pr01-1,GABA,4.705128205,
720575940627632428,IPS_pr01-1,GABA,4.522435897,
720575940617575760,IPS_pr01-1,GABA,4.41025641,
720575940618292416,IPS_pr01-1,GABA,4.400641026,
720575940629316152,IPS_pr01-2,GABA,3.019230769,2.779647436
720575940624763678,IPS_pr01-2,GABA,3.849358974,
720575940610678226,IPS_pr01-2,GABA,3.564102564,
720575940609630357,IPS_pr01-2,GABA,2.939102564,
720575940619925887,IPS_pr01-2,GABA,2.724358974,
720575940624732260,IPS_pr01-2,GABA,2.663461538,
720575940621983757,IPS_pr01-2,GABA,2.791666667,
720575940614079715,AVLP_pr11,Ach,5.852564103,5.8125
720575940616783833,AVLP_pr11,Ach,5.733974359,
720575940610504750,AVLP_pr11,Ach,5.810897436,
720575940621835246,WED_pr02,GABA,3.201923077,3.382386364
720575940625887631,WED_pr02,GABA,3.516025641,
720575940616121408,WED_pr02,GABA,3.378205128,
720575940611674265,WED_pr02,GABA,3.128205128,
720575940616211013,WED_pr02,GABA,3.564102564,
720575940615930299,WED_pr02,GABA,3.608974359,
720575940621540586,WED_pr02,GABA,3.445512821,
720575940640507763,WED_pr02,GABA,3.573717949,
720575940620581748,WED_pr02,GABA,3.439102564,
720575940605308082,WED_pr02,GABA,3.362179487,
720575940606743170,WED_pr02,GABA,3.397435897,
720575940632998136,WED_pr02,GABA,3.541666667,
