Source,Target,nt_type_banc,layer_mean_pre,layer_mean_post,Weight
AVLP_pr36/asp10a-1,pC2lb,Ach,5.407051282,4.830128205,12
pC2lb,AVLP_pr36/asp10a-1,Ach,4.830128205,5.310897436,12
WED_pr02,B1-3,GABA,3.378205128,2.717948718,12
WED-VLP-1,AVLP_pr31,Ach,3.448717949,4.375,12
B1-4,SAD_pr01,Ach,2.884615385,2.320512821,12
AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,Ach,5.448717949,5.182692308,12
WED_pr02,WV-WV-2,GABA,3.5,3.544871795,12
B1-5,GF,Ach,2.573717949,3.467948718,12
vpoEN,pC2lb,Ach,3.746794872,5.131410256,12
AVLP_pr36/asp10a-1,pC2lb,Ach,5.448717949,5.131410256,12
B1-2,WED-VLP-1,Ach,2.246794872,3.336538462,12
B1-2,WED-VLP-2,Ach,3.240384615,3.333333333,12
aPN3,aPN2,GLUT,5.038461538,4.602564103,12
WED_pr02,WV-WV-1,GABA,3.573717949,3.176282051,12
B1-2,WED-VLP-2,Ach,2.477564103,3.346153846,12
aPN3,B1-4,GLUT,5.096153846,2.743589744,12
B1-5,WED_pr02,Ach,4.240384615,3.516025641,12
B1-6,WV-WV-3,Ach,3.016025641,2.778846154,12
B1-5,GF,Ach,2.887820513,3.179487179,12
WV-WV-3,A1,GABA,2.41025641,3.746794872,12
A2,WED-VLP-1,Ach,2.310897436,3.336538462,12
SAD_pr02,WV-WV-3,GABA,3.096153846,2.53525641,12
WED_pr02,B1-2,GABA,3.378205128,2.387820513,12
AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,Ach,5.310897436,5.490384615,12
B1-u,AVLP_pr23,Ach,2.230769231,3.144230769,12
B1-3,AVLP_pr23,Ach,2.483974359,3.240384615,12
vpoIN-3,AVLP_pr31,GABA,3.926282051,4.352564103,12
WED_pr02,WV-WV-2,GABA,3.397435897,3.394230769,12
WED-VLP-1,pC2lb,Ach,3.137820513,4.830128205,12
WED-VLP-2,AVLP_pr01-1,Ach,3.647435897,2.996794872,12
B2,B2,GABA,2.644230769,2.21474359,12
vpoIN-1,pMN1,GABA,4.96474359,5.224358974,12
WED-VLP-1,pC2lb,Ach,3.448717949,5.131410256,12
AVLP_pr23,A1,Ach,3.144230769,3.730769231,12
B1-u,WV-WV-3,Ach,2.185897436,2.846153846,12
B1-2,B1-2,Ach,2.448717949,2.663461538,12
pC1d,AVLP_pr36/asp10a-1,Ach,5.891025641,5.407051282,12
WED-VLP-1,AVLP_pr01-3,Ach,3.246794872,5.060897436,12
WED_pr02,WED_pr02,GABA,3.564102564,3.439102564,12
WED-VLP-1,pC2lb,Ach,3.378205128,5.173076923,12
WED_pr02,AVLP_pr23,GABA,3.096153846,3.240384615,12
AVLP_pr23,A1,Ach,3.144230769,4.294871795,12
B1-3,WV-WV-2,Ach,2.483974359,3.544871795,12
B1-u,WV-WV-2,Ach,2.230769231,3.355769231,12
WED-VLP-2,AVLP_pr01-1,Ach,3.669871795,2.996794872,12
WV-WV-1,B1-2,GABA,2.631410256,3.105769231,12
B2,B1-7,GABA,2.644230769,2.487179487,12
AVLP_pr01-1,WV-WV-1,GABA,2.628205128,2.631410256,12
pC2lb,pC2la,Ach,4.929487179,5.708333333,12
AVLP_pr23,AVLP_pr02,Ach,3.144230769,3.381410256,12
B1-5,WED_pr02,Ach,3.365384615,3.564102564,12
B1-4,WV-WV-2,Ach,3.163461538,2.996794872,12
AVLP_pr01-1,AVLP_pr02,GABA,3.041666667,3.429487179,12
WED_pr02,WED_pr02,GABA,3.608974359,3.397435897,12
WED_pr02,A2,GABA,3.378205128,2.317307692,12
vpoIN-1,pMN1,GABA,5.493589744,5.224358974,12
B1-5,WED_pr01-1,Ach,2.929487179,4.115384615,12
vpoIN-1,pMN1,GABA,5.304487179,5.224358974,12
B2,B1-2,GABA,2.644230769,2.246794872,12
AVLP_pr36/asp10a-1,pMN2,Ach,5.054487179,5.391025641,12
B2,B1-u,GABA,2.150641026,2.381410256,12
WED_pr02,GF,GABA,3.564102564,3.467948718,12
A1,A1,inconclusive,3.823717949,3.939102564,12
WV-WV-1,WED-VLP-2,GABA,3.176282051,3.560897436,12
B1-5,B1-5,Ach,3.496794872,3.147435897,12
B1-2,B1-2,Ach,2.246794872,2.423076923,12
vpoIN-2,pC2lb,GABA,5.173076923,5.173076923,12
B1-5,WED_pr02,Ach,3.381410256,3.608974359,12
AVLP_pr01-1,WV-WV-1,GABA,3.041666667,2.631410256,12
AVLP_pr01-2,AVLP_pr01-2,GABA,3.935897436,4.233974359,12
AVLP_pr05-3,AVLP_pr18-1,GABA,5.378205128,5.673076923,12
pC2lb,pMN2,Ach,4.929487179,5.391025641,12
aPN3,B1-5,GLUT,5.176282051,3.615384615,12
AVLP_pr23,AVLP_pr05-1,Ach,3.240384615,3.817307692,12
B1-u,WV-WV-2,Ach,2.230769231,2.996794872,12
AVLP_pr01-1,A2,GABA,2.621794872,2.310897436,12
vpoIN-3,pMN2,GABA,3.916666667,5.314102564,12
B1-2,WED_pr02,Ach,3.586538462,3.128205128,12
AVLP_pr01-2,AVLP_pr01-2,GABA,3.823717949,4.217948718,12
AVLP_pr02,AVLP_pr36/asp10a-1,GABA,3.429487179,5.429487179,12
WED_pr02,WV-WV-2,GABA,3.608974359,3.355769231,12
WV-WV-1,WED-VLP-1,GABA,2.631410256,3.346153846,12
GNG_pr01-1,AVLP_pr23,GABA,5.205128205,3.144230769,12
WED_pr02,B1-1,GABA,3.201923077,3.830128205,12
AVLP_pr36/asp10a-2,vpoIN-2,Ach,5.16025641,5.173076923,12
AVLP_pr01-2,WED-VLP-1,GABA,4.233974359,3.246794872,12
WV-WV-4,SAD_pr02,GABA,3.467948718,3.602564103,12
pC2lb,pC2la,Ach,5.173076923,5.83974359,12
aPN2,IPS/WED_pr01,Ach,4.307692308,5.009615385,12
B1-1,WV-WV-1,Ach,2.060897436,2.326923077,12
pC2la,pC1d,Ach,6.083333333,5.891025641,12
vpoIN-1,pMN1,GABA,5.596153846,5.243589744,12
AVLP_pr02,pC2lb,GABA,4.46474359,4.875,12
AVLP_pr36/asp10a-1,pC1d,Ach,5.448717949,5.689102564,12
B1-3,WED_pr02,Ach,2.817307692,3.445512821,12
B1-6,IPS_pr01-1,Ach,3.125,4.522435897,12
WED-VLP-1,pC2lb,Ach,3.336538462,4.871794872,12
B1-1,WV-WV-3,Ach,2.141025641,2.846153846,12
WED_pr02,B1-4,GABA,3.541666667,2.419871795,12
B1-7,SAD_pr02,Ach,2.451923077,3.022435897,12
GNG_pr01-1,A1,GABA,5.413461538,4.294871795,12
WV-WV-2,WED_pr02,GABA,3.394230769,3.147435897,12
AVLP_pr01-2,vpoIN-3,GABA,3.823717949,3.916666667,12
B1-1,B1-2,Ach,2.141025641,2.298076923,12
